2026-04-16 15:55:29.973 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-16 15:55:29.974 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-16 15:55:29.974 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-04-16 15:55:30.018 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-16 15:55:30.018 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 972 ms
2026-04-16 15:55:30.161 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-16 15:55:30.258 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@55d1f065
2026-04-16 15:55:30.260 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-16 15:55:30.311 [main] INFO  [] o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-04-16 15:55:30.312 [main] INFO  [] o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-04-16 15:55:30.312 [main] INFO  [] o.f.c.i.license.VersionPrinter - 
2026-04-16 15:55:30.323 [main] INFO  [] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/geo (MySQL 8.0)
2026-04-16 15:55:30.361 [main] INFO  [] o.f.core.internal.command.DbValidate - Successfully validated 57 migrations (execution time 00:00.028s)
2026-04-16 15:55:30.367 [main] INFO  [] o.f.core.internal.command.DbMigrate - Current version of schema `geo`: 55
2026-04-16 15:55:30.376 [main] INFO  [] o.f.core.internal.command.DbMigrate - Migrating schema `geo` to version "56 - phase36 project dashboard"
2026-04-16 15:55:30.454 [main] INFO  [] o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema `geo`, now at version v56 (execution time 00:00.065s)
2026-04-16 15:55:32.149 [main] INFO  [] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@257de910, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@18ab86a2, org.springframework.security.web.context.SecurityContextHolderFilter@73ffe7b0, org.springframework.security.web.header.HeaderWriterFilter@1a6e940b, org.springframework.web.filter.CorsFilter@4601047, org.springframework.security.web.authentication.logout.LogoutFilter@32fcccd4, com.huanjing.geo.common.security.JwtAuthenticationFilter@240a2619, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@eb7d4ba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@699794d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6295cc30, org.springframework.security.web.session.SessionManagementFilter@742ce3ad, org.springframework.security.web.access.ExceptionTranslationFilter@216906a0, org.springframework.security.web.access.intercept.AuthorizationFilter@622be81d]
2026-04-16 15:55:32.395 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-16 15:55:32.405 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-04-16 15:55:32.412 [main] INFO  [] com.huanjing.geo.GeoApplication - Started GeoApplication in 3.671 seconds (process running for 3.851)
2026-04-16 15:55:32.468 [http-nio-8080-exec-2] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
